part,qty
01_base_plinth_v29,1
02_visible_winding_drum_v29,1
03_spring_barrel_housing_v29,1
04_horizontal_transfer_gear_v29,1
05_spatial_riser_bridge_v29,1
06_vertical_riser_gear_v29,1
07_canted_carrier_drive_gear_v29,1
08_fixed_internal_ring_72t_v29,1
09_canted_carrier_frame_v29,1
10_orbit_escape_pinion_18t_v29,1
11_escape_wheel_v29,1
12_pallet_fork_v29,1
13_balance_wheel_v29,1
