name,type,module_mm,pressure_angle_deg,computed_center_distance_mm,contract_center_distance_mm,computed_ratio,expected_ratio,lewis_stress_mpa,simplified_hertz_contact_mpa,allowable_stress_mpa,safety_factor,minimum_teeth_for_20deg_full_depth,actual_stress_teeth,status
fixed_internal_ring_to_orbit_pinion,internal_ring_to_external_pinion,1.0,20,27.0,27.0,-3.0,-3.0,6.72,15.0,35,5.208,17,18,pass
hand_pinion_to_carrier_drive,external_to_external,1.0,20,36.0,36.0,-3.0,-3.0,6.72,15.0,35,5.208,17,18,pass
